uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink,769 - Cult of the Dead,771 - General Character of Religion,772 - Cosmology,773 - Mythology,774 - Animism,775 - Eschatology,776 - Spirits and Gods,777 - Luck and Chance,778 - Sacred Objects and Places,779 - Theological Systems,787 - Revelation and Divination,match_flag
6abd2b91-cc56-4f07-8159-f27547477ad6,"Bauer, Brian S.","The sacred landscape of the Inca: the Cusco ceque
         system",1998,137,Monograph,Inka,South America,Central Andes,intensive agriculturalists,,"778,782",https://ehrafworldcultures.yale.edu/sres/6abd2b91-cc56-4f07-8159-f27547477ad6,0,0,0,0,0,0,0,0,1,0,0,False
5bd56d38-984e-49bc-a881-8bfb793143ad,"Calame-Griaule, GeneviÃ¨ve",Words and the Dogon world,1986,51,Monograph,Dogon,Africa,Western Africa,intensive agriculturalists,,"261,774,824,826",https://ehrafworldcultures.yale.edu/sres/5bd56d38-984e-49bc-a881-8bfb793143ad,0,0,0,0,1,0,0,0,0,0,0,False
b47a9c7d-6e5f-482a-b623-c3dfdb44efa0,"Hutchinson, Sharon Elaine, 1952-",Relations between the sexes among the Nuer: 1930,1980,[371],,Nuer,Africa,Eastern Africa,agro-pastoralists,,"000,773",https://ehrafworldcultures.yale.edu/sres/b47a9c7d-6e5f-482a-b623-c3dfdb44efa0,0,0,0,1,0,0,0,0,0,0,0,False
057bb4e7-414d-4962-a730-cd9ef1a54c53,"Mountford, Charles Pearcy, 1890-1977","The Tiwi: their art, myth, and ceremony",1958,67,Monograph,Tiwi,Oceania,Australia,hunter-gatherers,,"764,775",https://ehrafworldcultures.yale.edu/sres/057bb4e7-414d-4962-a730-cd9ef1a54c53,0,0,0,0,0,1,0,0,0,0,0,False
0ac6e22d-0f84-44de-90d3-d890a3e56ed0,"Laguerre, Michel S.",American odyssey: Haitians in New York City,1984,[118],Monograph,Haitian Americans,North America,"Regional, Ethnic and Diaspora Cultures",commercial economy,,"753,755,776,787,793",https://ehrafworldcultures.yale.edu/sres/0ac6e22d-0f84-44de-90d3-d890a3e56ed0,0,0,0,0,0,0,1,0,0,0,1,False
3f20e2fb-00cc-491a-ae4f-9b8d72ebc4cf,"Sangren, Paul Steven","A Chinese marketing community: an historical ethnography of
         Ta-ch'i, Taiwan",1980,305,Monograph,Taiwan Hokkien,Asia,East Asia,intensive agriculturalists,,"171,771",https://ehrafworldcultures.yale.edu/sres/3f20e2fb-00cc-491a-ae4f-9b8d72ebc4cf,0,1,0,0,0,0,0,0,0,0,0,False
c61189d1-34d6-41e1-ad96-53a32cd679aa,"Hoffman, Walter James, 1846-1899","The Mide'wiwin or ""Grand Medicine Society"" of the
         Ojibwa",1891,153,Essay,Ojibwa,North America,Arctic and Subarctic,hunter-gatherers,,771,https://ehrafworldcultures.yale.edu/sres/c61189d1-34d6-41e1-ad96-53a32cd679aa,0,1,0,0,0,0,0,0,0,0,0,False
4675da26-2aae-446a-9b45-8070b5a547f2,"Waters, Frank, 1902-",Book of the Hopi,1963,83,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"532,614,773,776",https://ehrafworldcultures.yale.edu/sres/4675da26-2aae-446a-9b45-8070b5a547f2,0,0,0,1,0,0,1,0,0,0,0,False
07aedbf6-b700-4252-b3cd-842ce32374d2,"Sharp, Henry S.","Shared experience and magical death: Chipewyan explanations of
         a prophet's decline",1986,262,Journal Article,Chipewyans,North America,Arctic and Subarctic,hunter-gatherers,,"273,778,792",https://ehrafworldcultures.yale.edu/sres/07aedbf6-b700-4252-b3cd-842ce32374d2,0,0,0,0,0,0,0,0,1,0,0,False
73f4593e-d187-4c14-b4b8-320d0a3bc2d8,"Singh, D. Sunder",Village survey report on Pudukulam,1964,[p.93-A],Monograph,Tamil,Asia,South Asia,intensive agriculturalists,,"212,527,563,776,782,000",https://ehrafworldcultures.yale.edu/sres/73f4593e-d187-4c14-b4b8-320d0a3bc2d8,0,0,0,0,0,0,1,0,0,0,0,False
99acd091-0e45-484f-a913-79145b49eba8,"Yasa, Ä°brahim","HasanoÄŸlan: socio-economic structure of a Turkish
         village",1957,195,Monograph,Turks,Middle East,Middle East,commercial economy,,"294,461,539,556,577,000,000,000",https://ehrafworldcultures.yale.edu/sres/99acd091-0e45-484f-a913-79145b49eba8,0,0,0,0,0,1,1,0,0,0,0,False
51b5bba6-e2a0-4630-b56c-c276076e1069,"Titiev, Mischa, 1901-",The Hopi Indians of Old Oraibi: change and continuity,1972,134,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"241,575,624,778,805,000",https://ehrafworldcultures.yale.edu/sres/51b5bba6-e2a0-4630-b56c-c276076e1069,0,0,0,0,0,0,0,0,1,0,0,False
b68959c0-8a8b-4e1e-8425-19ab299a2af0,"Paques, Viviana",The Bambara,1954,126,Monograph,Bambara,Africa,Western Africa,agro-pastoralists,,"769,775",https://ehrafworldcultures.yale.edu/sres/b68959c0-8a8b-4e1e-8425-19ab299a2af0,1,0,0,0,0,1,0,0,0,0,0,False
25120d96-e21f-466d-b356-ec8ced249568,"Courlander, Harold, 1908-1996","Hopi voices: recollections, traditions, and narratives of the
         Hopi Indians",1982,71,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"539,776",https://ehrafworldcultures.yale.edu/sres/25120d96-e21f-466d-b356-ec8ced249568,0,0,0,0,0,0,1,0,0,0,0,False
c602a184-9ea6-42ae-9892-7ff320711413,"Herskovits, Melville J. (Melville Jean),
         1895-1963",An outline of Dahomean religious belief,1933,44,Monograph,Fon,Africa,Western Africa,horticulturalists,,"776,782,783,784,793,000,000,000",https://ehrafworldcultures.yale.edu/sres/c602a184-9ea6-42ae-9892-7ff320711413,0,0,0,0,0,0,1,0,0,0,0,False
92c70ecd-98ea-4bcd-b7d8-5ab22854c0ca,"Kler, Joseph","Birth, infancy and childhood among the Ordos Mongols",1938,62,Journal Article,Inner Mongolia,Asia,Central Asia,agro-pastoralists,,"787,852,888",https://ehrafworldcultures.yale.edu/sres/92c70ecd-98ea-4bcd-b7d8-5ab22854c0ca,0,0,0,0,0,0,0,0,0,0,1,False
